#Pisa: tassa di scopo per risolvere problemi di allagamento in un quartiere. " @PisaConnection http://bit.ly/1FkCS6u  @IlTirreno #Pisa”;NonStructural;allagamento
@Sonjia85 inizio allagamento del porto previsto per le 10, ma ci vorranno giorni;NonStructural;allagamento
#Vicopisano, la piazza allagata http://instagram.com/p/uG8Db7BtDD/ ;Structural;allagata
#viareggio Passeggiata allagata: non resta che spostarsi sul materassino http://goo.gl/39Pr7s  pic.twitter.com/rZtrDGhbjX @immobiliarem3;Structural;allagata
Pioggia grandine 9 gradi e superstrada allagata. Buongiorno;Structural;allagata
Mezza Pisa allagata...e tante strade chiuse...;Structural;allagata
Pisa allagata!! pic.twitter.com/YG39iCgm;Structural;allagata
..sentire comparuzzoRinella chiacchierare in giardino..uscire e ritrovarsi Pisa allagata..miiinchiaaa!!!;NonStructural;allagata
“ @l_patrizia: #LePen "Salvini è un mio amico". Salvini si sarà pisciato sotto dall'emozione. #dimartedi” si allagato lo studio di #Ballarò;NonStructural;allagato
“ @l_patrizia: #LePen "Salvini è un mio amico". Salvini si sarà pisciato sotto dall'emozione. #dimartedi” si allagato lo studio di #Ballarò;Structural;allagato
IL TIRRENO Pisa: Sott’accusa infermiera Asl: «Ha allagato l’ospedale» http://dlvr.it/Rg3m5l ;Structural;allagato
#ACQUESPA #LAVORIIn corso l'intervento in via Streda (Zona industriale di Mercatale) nel Comune di #CerretoGuidi, per la sostituzione di 1,3 km di condotta Investimento da 330mila euro per migliorare il servizio per qualità e continuità http://bit.ly/2DAdgcr pic.twitter.com/U3uHN4W9VJ;NonStructural;condotta
